skill_id,skill_name
ES7DCEC0A13385EEAD75,ADP TotalSource
ESEC094F51B4AA2A7452,ADP Vantage
ES96C35DE2373F9BEDFD,ADP Workforce Now
KS7G44576GPZ9DFT4D21,ADT Security Services
KS120946KRL32JDG78CD,AEP Netilla Secure Remote Access (Virtual Private Networks)
KS1209D705T3KL01NLLW,AERMOD
KS1209H79Q68M1DGNLVL,AERONET
KS1209L6PRPR9P5K1ZRT,AES3
KS1209V5XPN3LCLXZN9C,AFGROW
KS1204V7402BGWS8N3HN,AFP Conversion And Indexing Facility (ACIF)
KS120B471RX7V058TYYY,AGFA Impax 6
KS120B773ZV1BGVMLCR6,AGi32
KS120CT6H9JD0359XX5L,AISC 360 Specification For Structural Steel Buildings
ESCF66D708E232B778DB,AKTA (Chromatography Technology)
KS120D06QPFCLR4K20K6,ALA Lighting Specialist Certification
KS120D871VT2YB2V90ZJ,ALGOL (ALGOrithmic Language)
ES5615A7CD953146E286,ALM Octane
KS120DQ79BVH8B72PM1Y,ALMSA (Assisted Living Software)
KS120F573NR7HPRZCZWM,ALT Linux
KS120F6614RRWRVD93Q6,ALTernate Queueing (ALTQ)
KS120F66K15VYY7T9SH4,ALWD Citation Manual
KS120F76DSHH6JJRLZJV,AMAP
KS120FY6PQ6S3TPYYBNV,AMD Catalyst
KS120QP646KKKWKL28NF,AMD CrossFireX
KS120G060HKMFJ6XW9FK,AME Accounting Software
KS120G8732XJD6951BT0,AMPAC
KS120GB5X6TXMRL1RMNF,AMPL
ES94A14D7F42AFF5C472,AMPScript
KS120GF6V9G5Q8V2JHF3,AMS Device Management
KS7G50L6C94XCNCPVHFR,AMT Asset Management Software
ES1A3DE851CDC61EAEE4,AMX Programming
KS1267R72H1P0F4J08NQ,AN/PRC-148 Multiband Inter/Intra Team Radio (MBITR)
KS120GX6ZR3PQRWT4HZ5,ANCC Certified
KS120HS67929RDK5LFV5,ANSI C
KS120HT6MRQ053YRN04Z,ANSI Escape Codes (Computer Standards)
KS7G1695VNNLQQVMWGQV,ANSI/ANS Standards
KS120P36QKS9Q0HT3Y84,ANSI/ASME Y14.1 Standards
ESB8C30E646A8D126D9D,ANSYS IcePak (Simulation Software)
KS7G1BR6XS3B87GHVMYH,ANSYS Meshing
KS120JB780BFZLM229KT,ANTLR
KS120JG6KF1PGXQF1LWD,AOLserver
KS120JJ69JS4Y7D3GT76,AP Stylebook
ES47872FF0920889B0CC,APA Ethics Code
KS440NJ66PMC7GRTQ5M4,APC Smart-UPS
KS120JQ5XRT24Y2TYJH4,API 570 Piping Inspector Certification
KSS344MJ1FTC11D417OQ,API Design
KSSJWZXL7CV40W8V1XSG,API Gateway
KSX7P09OI655CWYTVMN8,API Management
KS1277P692WQKR53ZQ9S,API Oil-Water Separator
KS120JQ729XXZPNRCDVY,API Writer
KS122KF6P32HVKQ22H3F,APICS Certified Supply Chain Professional
KS120276HJHWKR60D4LL,APL (Programming Language)
KS120LS6BZQJ38QR16LF,APPX (Runtime Environment)
KS120LX6BHMSTVNZ05ZS,APache EXtenSion Tool (APXS)
KS120LX703K7L79K0XMF,AQtime
KS128J05YWMVDP8ZS3KP,AR System Administration
KS120M86T569CQN08FPW,ARC Macro Language
KS120M96HHK4LRBHK1MK,ARCserve Backup Solutions
KS120MX71N7VKSBKSTGB,AREMOS
KS120N160BXHQ7KC0CCN,ARINC Standards
KS68WDCYJLS1BCN3375P,ARKit
KS120N35W6P190K9B7YT,ARM Architecture
KS120N36W0YXDKXMX65R,ARM Architecture Microprocessors
KS120N360W96BTJHB9J6,ARM Microarchitectures
KS120N374GTJHVC7C3HB,ARM7 Architecture
KS120N46X6LFXVZX4PT8,ARM9 Architecture
KS120N66VXJ87Z96N80S,ARMulator
KS120N675NB786DRM7ZR,ARPACK
KS120NR6DY66JRC9JC6F,ARToolKit
KS120NS7542KRQ27Y9T9,AS2
KS120NS75WQMM7B20BK4,AS4 Conformance Profile
KS120NW7376VH62F7SZ2,ASARS-2 Radar System
ES3B21EEEDAE30A6D435,ASC 606 (Revenue Recognition)
KS123TQ761C17LV3KCZL,ASC 740 (Accounting For Income Taxes)
ES9DD1674BB7DBE36AD6,ASC 842 (Lease Accounting Standard)
KS120HR68F268R48NN2Q,ASC X12 Standards
ES239541A0DA618631E5,ASE Advanced Engine Performance Certification
ES6A32C5E73B401844DF,ASE Auto Maintenance And Light Repair Certification
ESDEBFEDDA6E4F067BA4,ASE Automobile Service Consultant
ES5653BEA3D536EEAF9D,ASE Medium-Heavy Truck Certification
ES1AF5FD7C6CC3537D49,ASE Parts Specialist
KS120P075CPBQKYR3H07,ASIC Programming Language
KS1215R6G5DYNSM74PW5,ASME Boiler And Pressure Vessel Code (BPVC)
KS120P55ZL8G3G62ZZ5R,ASNT Non-Destructive Tester
KS120026VL50QFWT2281,ASP.NET
ESD3D2440C1EA13521F1,ASP.NET Core
ESD01424DDFB5DBF393F,ASP.NET Core MVC
KS120P56T2RTSC0HS9S8,ASP.NET Extensions For AJAX
KS120P65YPG6CLW2TL7B,ASP.NET Fundamentals
ES535CAD45EEE46C3B92,ASP.NET Identity
ES4F9308FDC1CD3A66CF,ASP.NET MVC 5
KS120P66TSZZ3X8G19X1,ASP.NET MVC Framework
ESAFC9B9B186876E1204,ASP.NET Razor
ES953681ACD477C14788,ASP.NET Web API
KS120P96KZSLDQF9YRV0,ASReML
KS120PZ67ZB2XW1DY35G,ASSR Certified
KS120Q26B1BK8HSNBS3L,ASTM B117 - 11 Standard
KS120QT68NVV4FNFG21L,AT91SAM (Microcontrollers)
KS120QB76PM2XYHPKK1R,ATA Over Ethernet
KS120QB77K2SR96QTD07,ATA Packet Interface
KS120QQ64GQM67DYJ0N6,ATL Server
ES3FE972B564426E4D97,ATLAS.ti (Qualitative Data Analysis Software)
KS1202J6V5TM84R59X89,ATM Adaptation Layer
KS120QT623D8TCX7251D,ATM Controllers
KS128BK6LX63931V6KX0,ATi Radeon R200 Series
KS120R46LC57XQ90X95G,ATutor
KS120TD6FDZ2X0CD7RJV,AUTomotive Open System Architecture (AUTOSAR)
KS120TQ64NLK30XBJ0GW,AVG (Software)
KS121RM60CTV4VXVY7R2,AVIXA Certified Technology Specialist
KS120TY6VMKTW69X09NF,AVL Tree
KS120V06GJQL0XX9JLS2,AVR32 Microprocessor
KS120V06RSJYTD3653PQ,AVS Video Editor
KS120V077Q56QZ6HWFGP,AVSnap
KS120TP63502W6Z88HQR,AVoided Emissions And GeneRation Tool
KS120V178L936G0L2P07,AWK (Programming Language)
ES10A39B7C7A12C9618F,AWS Amplify
ES4D45401B3C9E4FC96E,AWS App Mesh
ES9D43585B5783E22072,AWS AppSync
ES19FD1951EE3CE14D14,AWS Auto Scaling
ESD6A7AFB71A448F064D,AWS Backup
ESCEC06EC6132930188F,AWS Batch
KSYIJN0ID1F7P2HPDUCJ,AWS CLI (Command Line Interface)
ES5B093CD735026356AA,AWS Certified Advanced Networking Specialty
ESE9D9E0EAAFED58FE7F,AWS Certified Big Data Specialty
ESCA261D1D1DC8A1623D,AWS Certified Cloud Practitioner
ES8B87DCFE13A4717BE1,AWS Certified DevOps Engineer
ES798281B621D67C2728,AWS Certified Developer
ES59A32D2113C9D8482E,AWS Certified Machine Learning Specialty
ES8BE2666F02E442ED93,AWS Certified Security Specialty
ES47E53AE0C2065DA872,AWS Certified Solutions Architect
ESDADAA6F2B49D44BA23,AWS Certified Solutions Architect Associate
ESF0EC212A748B43EF90,AWS Certified Solutions Architect Professional
ESBD4FA4DB8AEE666CD0,AWS Certified SysOps Administrator
ESB3F99C3446845F41F6,AWS CloudFormation
ES323762B1E71B5B0976,AWS CloudHSM
ES6C84FF059A9F04F65E,AWS CloudTrail
ESD020B052E485B421A3,AWS CodeBuild
ES2119F2B7CEE19988ED,AWS CodeCommit
ES192CD34322D5FBBF42,AWS CodeDeploy
ES81E615088FE9EDB504,AWS CodePipeline
ESDAEB87897FCB6139E7,AWS Cost Management
ESC1AE8112F1253E3185,AWS Directory Service
KSU21FZSFMTTJN9W22FR,AWS Elastic Beanstalk
KS4NKXC90M22JM53MO6D,AWS Elastic MapReduce (EMR)
ESBD8E0AF64EAB01791B,AWS Glue
ESFF6FC6EEE083A0AF63,AWS Identity And Access Management (IAM)
ES363E5FFEDC2CBB5A4D,AWS Inferentia
ES283C495870146C865C,AWS Internet of Things (IoT)
ES41665F519CF411D0AB,AWS Key Management Service (KMS)
ES4512E57CF178E77F7B,AWS Kinesis
KSE4ME2Z9GRO05SLM3CR,AWS Lambda
KSMJU7BL3K034AD0AQSX,AWS SDK
ES2133DA6434CF028833,AWS SageMaker
KS120V36Q4DWT48KJY4W,AWStats
KS120V36Q74GFF16ZY9V,AX.25 Protocol
ES52C92B8516F3CFD53F,Ab Initio (Software)
KS1202N6LF0C1R6R5L0L,Abaqus
KS1202P6CWB7Y5KCB78N,Abc Analysis
KSLT5162L77EOKSI8AG7,Abcpdf
KS7G5BF640KP9WGMYZXT,Abdomen (Medical)
KS1202R6Q0F9WFQR874Z,Abdominal Surgery
KS1202S6JJ6ZRGXDFHQM,Abdominal Trauma
KS1202S6YL4YQPLDHBMS,Abdominal Ultrasonography
KS1202T6DM0DBC2PSHLH,Abdominoplasty
KS1202X63YV8XBK8MRL2,AbiWord
ES9BD12EB76B360E0E89,Ability To Meet Deadlines
KS1202X60DZ468Q5PTTM,Abiquo Enterprise Edition
KS1202X65SZ3VM8V8RYB,Ablation
KS1202Y5Y6BL6KYSXJGK,Able2Extract
KS1202Y6YB65J9CFR5YC,Ableton Live
KS12030712HLR96L8W57,Abnormal Psychology
KS120316H9WBMNRL25JD,Abnormal Return
KS7G5166Y7RLLM3ZFW86,Aboriginal Law
KS120316XL4914GMCBQK,Abrasion
KS120326ZT67WND9V0YY,Abrasive Blasting
KS120336GQFKVT54QV78,Abrasive Saw
KS12034717M58DR8H8N9,Abscesses
KS125QD6THVTXDY344MP,Absolute Manage
KS127DD61V3GV283FW9F,Absorption (Electromagnetic Radiation)
KS1206P5XBWRK38BXKJ8,Absorption Distribution Metabolism And Excretion (ADME)
KS120G474PXV3F5L4P0Q,Absorption Refrigeration
KS120355YQKKX0V3C7G8,Absorption Spectroscopy
KS120355ZP7F02VG00ZT,Abstract Algebra
KS6U98UYDZRIQB1N39JD,Abstract Class
KS120356T1XXC7HZSYP2,Abstract Data Types
KS12035710BLMKCV8BX2,Abstract Factory Pattern
KS1228L6JG2Z7Y9388W1,Abstract Management
KS120P36WR8K8GQ5MC9F,Abstract State Machine Language (ASML)
KS120366BK68G1RR9HZB,Abstract Syntax Notation One
KS120376F8K0V1ZP5JTL,Abstract Syntax Tree
KS120RX6HB9N9V6F07KJ,Abstract User Interface Markup Language (AUIML)
KS120376TXG3FMD6JBTS,Abstract Window Toolkit
KS1203771F900Q62YB00,Abstraction Layers
KS120377169JZ6CD0ZW0,Abstractions
KS1203779S07YSRGPYY0,Abutments
ES12F6869E7F07D20F2F,Academic Accommodation Plans
KS1203B6CK2THKV1NY0J,Academic Achievement
ES2DF577C8B1BD54B16C,Academic Advising
ES90C03D3E378355D65C,Academic Affairs
KS1203C5WTB7N6VFDJ6F,Academic History
KS1203C6LF2KSBJ3XQBF,Academic Integrity
ES9320CF9A1D6E98E7DA,Academic Papers
KS1203C6TWBHZ701QZJQ,Academic Standards
KS1203D5ZD61218YQVM7,Academic Studies
ES5D1A60A6568B177924,Academic Support Services
KS1203D66Q7YK7KQZXJ2,Academic Writing
KS1203H67QX1QWKFBVYP,Acceleo
KS120B06G9Z3GR1VHRXC,Accelerated Failure Time Models
KS1203H6FDVFDL28KW37,Accelerated Life Testing
KS1203J5VSM9TS687K7H,Accelerated Math
ESC1136D925A4D482637,Accelerated Mobile Pages
KS127KV6H0693RKBCRQF,Accelerator Physics
KSABZMV03QITJMWF5F99,Accelerometer
KS1203J6CK01YWBLBY6V,Accelrys
KS1203J6M8VRNS2CHDR6,Accent Reduction
KS1203J777S2BBRNT2J3,Acceptable Use Policy
KS1203K65F6Y8X55C5KJ,Acceptance Sampling
KS7G3TD7111MXHVZX6ZN,Acceptance Test Procedures
KS120QD6Z139PJ2P46RP,Acceptance Test-Driven Development
KS1203K6FQ749NJNRBBX,Acceptance Testing
ES95B6F9FEB492CE923D,Acceptance and Commitment Therapy (ACT)
KS1203L6C65NFKLH3SC3,Access Control Facility
KS1203L6WHJQQ27V2HTP,Access Control List
KS1203M73NFJXHYM04Q0,Access Control Matrix
KS1203L5ZBS8NR0T5XN2,Access Controls
KSXO0PE5L6W40BBNGYNE,Access Keys
KS120D26CCLJ9ZNWPLRN,Access Link Control Application Part (ALCAP)
KS1203N60YSYG15FJJZF,Access Method
KS1203N6XLHLW8LCN1LG,Access Modifiers
KS1203M5X6LQVSRTW88J,Access Network
KS120H26QH82FHVXFTGV,Access Network Discovery And Selection Function
KS1203P6FKWQ88V6QQJJ,Access Project
KS1203Q7455CLC7HD3Z1,Access Query Languages
KS1WUKN3MPX0CVSLDLUO,Access Rules
KS1203R63NCPN34ZBVST,Access Stratum
KS1203R6JNPHW1YQCWKY,Accessibility Inspector/Plans Examination
KS1204F62V8K7V4G8DQT,Accession Commitments Database
KS7G7LT6PGPFH9YPKRMB,Accessioning
KS1203R77WX522ZZY7Y7,Accident Analysis
ESC91AD295C567CF865F,Accident Prevention
ESC339202E7F9A17B4E4,Accident Reporting
KS7G1Y070WZ4B8WX7VG3,Accident Response Group
KS1203S672G1690F076B,Acclimatization
KS2Z5CPHEKWSRR4CGU3K,Accord.net
KSV6631ZKTL538Y3QV16,Accordion
ES92DE7DA16A1486D5B5,Account Adjustments
KS1203S6GR7J8Z6F55LX,Account Aggregation
KS1203S6MM7GLDM71WQD,Account Analysis
ESC1507EE0A496ACBA72,Account Closures
KS1203T6FQ855MDWZ51F,Account Development
KSCLJ4U1QAP1TFAJHA5R,Account Growth
KS1203T6J7F2P3TG6Y6K,Account Management
KS1203V76H2FS8MBWTV0,Account Planning
ES7A07CF87C516875B23,Accountability
KS120LV718QR0N00Z7N9,Accountancy And Passenger Ticket Issuing System (APTIS)
KS1203W702ND09XHKJR5,Accounting
ESD72B58C51BB48B5D60,Accounting Cycle
KS1203Z62DNTM19LSZZ3,Accounting Ethics
ES291EB0AE6A9AEA846C,Accounting For Income Taxes
KS1203Y62Y4C11XJ6PHP,Accounting Information Systems
KS1203Z6RPSCXTTVBJTP,Accounting Machines
KS1203Z6YQZ0X4XX7RM2,Accounting Management
KS1204062MRJ22SC2KZ2,Accounting Methods
KS120415VRMKCMYR91NZ,Accounting Records
KS120426SFP27H99QDQV,Accounting Research
KS120436N14BN10FM7W8,Accounting Software
KS12043750BK3KLG30B5,Accounting Systems
KS1203V5WXB7NG26XSR8,Accounts Payable
KS120446CSVFYT9NH895,Accounts Payable Automation
KS120446FTV4YNJ82ZRV,Accounts Payable Fundamentals
KS1203W6419RJG2KW4QS,Accounts Receivable
ES436EC1FA6AD0EB3C4C,Accounts Receivable Management
KS1204566FQPKRKW8K9Y,Accounts Receivable/Billing Fundamentals
KS7G6LP6HLWCP8RF5XCS,Accreditation Of Public Relations
KS1202J6J50CNM79GKTL,Accredited Adviser In Insurance
KS120465Y516C49NMQNB,Accredited Auctioneer Real Estate
KS1204669404FWCXHWW0,Accredited Business Accountant
KS120466KVRW2LW1WLT3,Accredited Business Communicator
KS120806TZP1RB7QRG63,Accredited Domestic Partnership Advisor
KS120466RN83VFPYP34F,Accredited Estate Planner
KS1204673GQ5MFR73PVX,Accredited Financial Counselor
KS1204676WXML2HYNBW5,Accredited Financial Examiner
KS120475X6C3N66Y2H41,Accredited Health Care Fraud Investigator
KS120475XPTMPZ22GZRR,Accredited Insurance Examiner
KS1204767QP36X4FB1CF,Accredited Investing
KS7G3GJ6S6GTGCKR9MWN,Accredited Investment Fiduciary
KS120476LHSKZKJK9KZX,Accredited Mortgage Professional
KS1204864K3XYPGQTRNF,Accredited Purchasing Practitioner
KS1204868HYX5F842T3R,Accredited Sales Professional
KS120NX6RXL8N8JXW41D,Accredited Systems Engineer
KS12048798VTG50T4VDL,Accredited Tax Advisor
KS1204969YVBJP6HSRNR,Accredited Tax Preparer
KS120496DCYMHTC2MGZ7,Accrisoft Freedom
KS120496WQCJDPL7THP5,Accrual Accounting
KS120496P0NDBPKP322Z,Accruals
KS1204B65GL24XD81P45,Accrued Liabilities
KS1204D641X0X10KCHXX,AccuRev SCM
ES4C507FFA99E6AD1A30,Accubid (Estimating Software)
KS1204L72RQZ4CRK99WM,AceProject
KSCBN56GI5INML7HZ1I5,Achartengine
KS4E7SRQNGJBHOQ07CL5,Achievement Driven
KS67VOG2E9KNLBGNIDTH,Achievement Oriented
KS1204P6HC51FMC81773,Achievement Testing
KS1204Q6L6ZWF5QJ4BMY,Acid Hydrolysis
KS7G1JM6VS5PXWPD4SG1,Acid Leaching
ESC75802F530F4918A41,Acid/Base Chemistry
KS1204V6WQ2PJQYPNBP7,Acids
KS1204W6XCN3B7PXSWXY,Acoustic Control Induction Systems
KS1206B6B09HH62YWTX7,Acoustic Doppler Current Profiler
KS1204Z64LQNMBXNJ10M,Acoustic Emission
KS1204Z6ZZQJFLHF8TQD,Acoustic Guitar
KS120505XP26774CCY8Y,Acoustic Suspension
KS1205066VJ1K3NBRXRY,Acoustical Engineering
KS1205067TRXMGZWGTJP,Acoustical Intelligence
KS120505YWP3HFSBFK3C,Acoustics
KS120556NRS6S7CGFFJC,Acquisition Due Diligence
KS7G2WZ612CVXLTJQ9DN,Acquisition Life Cycle Framework
KS120556WGBNC5V3VQXQ,Acquisition Processes
KS440MF6TWZP53L336ND,Acrochordon
KS120586SYV85C3KD16N,Acromioplasty
KS12059608LXYNL7H086,Acronis True Image
ESCD0066FBF8BD7D60F4,Acrylic Paint
KS1205D5X9GGKH9TRVVZ,Act! CRM
KS440NL759FHR7WC06YM,Actel SmartFusion
KS441RQ74BZXRP355M4Z,Actian Vector
KS1205D6BBWBWKN458V2,Acting
KS1205D6VV4NJ84K48H1,Acting Workshop
KSSEJAJCG9MUA86DOT5Y,Action Button
KSHIFH8H490J0L3H9HPO,Action Filter
ES2EC8932A157A788D11,Action Oriented
KS1205F621YRWCHKN5PC,Action Research
KS1205F69044JGP21J26,ActionScript
KSTPL33KT5N4WEQ4RN8F,Actioncontroller
KSYYFY8WM4W25UZ0Z38X,Actionform
KSW3DFI44NZWN60CX67I,Actionlink
KS8HS8CM0ACY6UXJODCA,Actionview
KS1205F75D757GCGPVRR,Activated Sludge Treatment
KS7G73N6642M8D5F0SV6,Activation Systems Development
KS120695X3PZSLQV8L40,Active Database Management Systems
KS1205G5ZKS8ZZWVPM9Y,Active Directory
KS7G4416RRN91MVXW1RX,Active Directory Application Mode
KS1205X78SJS091PVX5V,Active Directory Explorer
KS1206G6GQ3J165015ZB,Active Directory Federation Services
KS1206L6N0ZKCG37DGXT,Active Directory Lightweight Directory Services
KS1206S6T1NC7RGSG2MH,Active Directory Migration Tool
KS120835Z5V5BBB4S4LL,Active Directory Rights Management Services
KS1208366DPPT9R087DC,Active Directory Service Interfaces
KS7G3CR68CRNLHQKSJW9,Active Format Description
KS1205G6598GCZJ207GT,Active Fuel Management
KSCKLO0C6OB2WV83H6XO,Active Hdl
KS120C17027QZ5D2XP70,Active Input Method Manager
KS1205G70KR7LY58Q27Z,Active Learning
KS1205H6HZDXGDV2R0QZ,Active Listening
KS1272B6L0Q19J0Q313P,Active Noise Controls
KS120LX6C1T9W0ZMSSMV,Active Queue Management
KS1205K6XZ25BV21F5N9,Active Record Pattern
KS1205H6HZFQSVSF2RM5,Active Release Techniques
KS1205H6JPVBX39XF3F2,Active Safety
KS1205M641DHZFNJVVKS,Active Scripting
KS120025ZGZCGLN7D345,Active Server Pages (ASP)
KS1205J6HJMC1ZBX6MJX,Active Stretching
KS1205J71XPFD3TWP411,Active Template Library
KS1205K5YF59H7KB4PC1,Active Treatment
KS1205K6F96DJ5B2QKZ3,ActivePerl
KS1205K6WNHYDPXBDLRQ,ActivePython
KS1205M612TM7H755DHG,ActiveReports
KS1205M65BKF2V200RX0,ActiveState Komodo (Unix Text Editors)
KS1205P5VXFJ2ZS5XBJY,ActiveSync
KS1205P6N1TCP1ZWL42R,ActiveVOS
KS1205K5ZTG520GYS1HB,ActiveX
KS1205Q6J27P7BT4PPTQ,ActiveX Data Objects
KS1207S694ZWL6ZG13CL,ActiveX Data Objects For The Windows CE Operating System (ADOCE)
KS1205Q77Q3SVS3TX87M,ActiveX Document
KS1205R66FMGZPJR2K97,ActiveXObject (JavaScript)
KSX5K3A66M9O3TQN3DRW,Activeadmin
KS7BSX5SG6K3URXOHO7V,Activeandroid
KSI9QBPRXV7BI1XK7P55,Activecollab
KSLUZKLZ18EVNG0EJQUJ,Activepivot
KS1205R6C9RH3LF4DTZ0,Activism
KS1205R6PNK1B0BJ2X4Q,Activiti (Software)
KS7G6LB60Z07YL9S1F9W,Activities Of  Daily Living (ADLs)
KS1205S5X1C6K4B8ZDR0,Activity Assistant Certified
KS1205T64BM5XHBNBVM4,Activity Consultant Certified
KS1205T6B20PHP257R85,Activity Diagram
KS1205T6PD97TDM76N97,Activity Director Certified
KS1205T6Y5F2D4R31SBZ,Activity Director Provisionally Certified
KS9IBUH88YSMGKPYVQXD,Activity Manager
KS1282B5XTWY2CS142XL,Activity Monitor
KSZL61W5WB9CRWALSETH,Activity Recognition
